Designator,Val,Package,Mid X,Mid Y,Rotation,Side
"C1","10µ","CP_Elec_4x5.4",111.500000,-114.000000,0.000000,top
"C2","10µ","CP_Elec_4x5.4",128.000000,-85.000000,270.000000,top
"C3","1µ","C_0805_2012Metric",121.750000,-107.500000,0.000000,top
"C4","1µ","C_0805_2012Metric",121.750000,-105.250000,180.000000,top
"C5","100n","C_0805_2012Metric",124.500000,-50.937500,90.000000,top
"C6","100n","C_0805_2012Metric",124.500000,-32.062500,270.000000,top
"C7","3.3µ","CP_Elec_4x5.4",103.000000,-27.500000,180.000000,top
"C8","3.3µ","CP_Elec_4x5.4",103.000000,-21.000000,180.000000,top
"C9","3.3µ","CP_Elec_4x5.4",103.000000,-43.000000,180.000000,top
"C10","3.3µ","CP_Elec_4x5.4",103.000000,-36.500000,180.000000,top
"C11","50p","C_0805_2012Metric",112.437500,-29.000000,180.000000,top
"C12","50p","C_0805_2012Metric",112.437500,-27.000000,180.000000,top
"C13","50p","C_0805_2012Metric",112.437500,-44.500000,180.000000,top
"C14","50p","C_0805_2012Metric",112.437500,-42.500000,180.000000,top
"C15","3.3µ","CP_Elec_4x5.4",103.000000,-58.500000,180.000000,top
"C16","3.3µ","CP_Elec_4x5.4",103.000000,-52.000000,180.000000,top
"C17","3.3µ","CP_Elec_4x5.4",103.000000,-74.000000,180.000000,top
"C18","3.3µ","CP_Elec_4x5.4",103.000000,-67.500000,180.000000,top
"C19","50p","C_0805_2012Metric",112.437500,-60.000000,180.000000,top
"C20","50p","C_0805_2012Metric",112.437500,-58.000000,180.000000,top
"C21","50p","C_0805_2012Metric",112.437500,-75.500000,180.000000,top
"C22","50p","C_0805_2012Metric",112.437500,-73.500000,180.000000,top
"C23","100n","C_0805_2012Metric",101.500000,-107.000000,270.000000,top
"C24","100n","C_0805_2012Metric",124.500000,-63.062500,270.000000,top
"C25","100n","C_0805_2012Metric",124.500000,-20.000000,90.000000,top
"C26","100n","C_0805_2012Metric",101.500000,-86.937500,90.000000,top
"J2","10118193-0001LF","FCI_10118193-0001LF",100.500000,-115.500000,0.000000,top
"L1","6.8µ","L_1210_3225Metric",115.250000,-109.000000,0.000000,top
"R1","100k","R_0805_2012Metric",112.437500,-31.000000,180.000000,top
"R2","100k","R_0805_2012Metric",112.437500,-25.000000,180.000000,top
"R3","100k","R_0805_2012Metric",112.437500,-46.500000,180.000000,top
"R4","100k","R_0805_2012Metric",112.437500,-40.500000,180.000000,top
"R5","100k","R_0805_2012Metric",112.437500,-62.000000,180.000000,top
"R6","100k","R_0805_2012Metric",112.437500,-56.000000,180.000000,top
"R7","100k","R_0805_2012Metric",112.437500,-77.500000,180.000000,top
"R8","100k","R_0805_2012Metric",112.437500,-71.500000,180.000000,top
"R9","10k","R_0805_2012Metric",121.000000,-39.937500,90.000000,top
"R10","10k","R_0805_2012Metric",123.000000,-39.937500,90.000000,top
"R11","10k","R_0805_2012Metric",121.000000,-71.000000,90.000000,top
"R12","10k","R_0805_2012Metric",123.000000,-71.000000,90.000000,top
"R13","10k","R_0805_2012Metric",127.000000,-39.937500,90.000000,top
"R14","10k","R_0805_2012Metric",125.000000,-39.937500,90.000000,top
"R15","10k","R_0805_2012Metric",127.000000,-71.062500,90.000000,top
"R16","10k","R_0805_2012Metric",125.000000,-71.062500,90.000000,top
"R17","10k","R_0805_2012Metric",98.000000,-87.000000,270.000000,top
"R18","10k","R_0805_2012Metric",105.000000,-87.000000,270.000000,top
"R19","50k","R_0805_2012Metric",98.000000,-90.975000,90.000000,top
"R20","50k","R_0805_2012Metric",105.000000,-90.975000,90.000000,top
"R21","10k","R_0805_2012Metric",105.000000,-107.000000,90.000000,top
"R22","10k","R_0805_2012Metric",98.000000,-107.000000,90.000000,top
"R23","50k","R_0805_2012Metric",104.000000,-102.500000,180.000000,top
"R24","50k","R_0805_2012Metric",98.000000,-103.000000,270.000000,top
"U2","MC33174","SOIC-14_3.9x8.7mm_P1.27mm",124.500000,-26.000000,270.000000,top
"U3","MC33174","SOIC-14_3.9x8.7mm_P1.27mm",124.500000,-57.000000,270.000000,top
"U4","MC33174","SOIC-14_3.9x8.7mm_P1.27mm",101.500000,-97.000000,90.000000,top
