Comment,Designator,Footprint,LCSC
"10u","C1,C2","Capacitor_SMD:CP_Elec_4x5.4","C249759"
"50p","C11,C12,C13,C14,C19,C20,C21,C22","Capacitor_SMD:C_0805_2012Metric","C14857"
"1u","C4,C3","Capacitor_SMD:C_0805_2012Metric","C28323"
"100n","C5,C6,C23,C24,C25,C26","Capacitor_SMD:C_0805_2012Metric","C49678"
"3.3u","C7,C8,C10,C9,C15,C16,C18,C17","Capacitor_SMD:CP_Elec_4x5.4","C134505"
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3"
"PJRAS4X2U01X","J1","parts:PJRAS4X2U01X"
"10118193-0001LF","J2","10118193-0001LF:FCI_10118193-0001LF"
"RCJ-2234","J3","parts:RCJ-2221"
"SJ1-3523N","J4","parts:Headphone_Jack_3.5mm_SJ1-3523N","Connectors, Interconnects"
"6.8u","L1","Inductor_SMD:L_1210_3225Metric","C87558"
"100k","R1,R2,R3,R4,R5,R6,R7,R8","Resistor_SMD:R_0805_2012Metric","C17407"
"50k","R23,R19,R20,R24","Resistor_SMD:R_0805_2012Metric","C17713"
"10k","R9,R10,R11,R12,R13,R14,R15,R16,R21,R17,R18,R22","Resistor_SMD:R_0805_2012Metric","C17414"
"10k LOG","RV1,RV2,RV3,RV4,RV5,RV6","parts:EVJYK6"
"PDME1-S5-D9-S","U1","PDME1-S5-D9-S:CONV_PDME1-S5-D9-S"
"MC33174","U2,U3,U4","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C113552"
