"Index","Menge","Teilenummer","Hersteller-Teilenummer","Beschreibung","Kundenreferenz","Verfügbar","Lieferrückstände","Stückpreis","Gesamtpreis EUR"
"1","100","311-10.0KCRCT-ND","RC0805FR-0710KL","RES SMD 10K OHM 1% 1/8W 0805","","100","0","0,01310","1,31"
"2","100","311-100KCRCT-ND","RC0805FR-07100KL","RES SMD 100K OHM 1% 1/8W 0805","","100","0","0,01380","1,38"
"3","10","MC33274ADR2GOSCT-ND","MC33274ADR2G","IC OPAMP GP 4 CIRCUIT 14SOIC","","10","0","0,69700","6,97"
"4","100","1276-1007-1-ND","CL21F104ZBCNNNC","CAP CER 0.1UF 50V Y5V 0805","","100","0","0,01590","1,59"
"5","24","493-9794-1-ND","UWJ1E4R7MCL1GB","CAP ALUM 4.7UF 20% 25V SMD","","24","0","0,17900","4,30"
"6","5","102-6322-ND","PDME1-S5-D12-S","DC-DC ISOLATED, 1 W, 4.5-5.5 VDC","","5","0","2,15800","10,79"
"7","20","1276-6470-1-ND","CL21B105KBFNNNG","CAP CER 1UF 50V X7R 0805","","20","0","0,08000","1,60"
"8","10","445-6402-1-ND","MLZ2012M6R8WT000","FIXED IND 6.8UH 350MA 400 MOHM","","10","0","0,11500","1,15"
"9","12","P2J4103-ND","EVJ-YK6F03651","POT 10K OHM 1/20W LOGARITHMIC","","12","0","1,19600","14,35"
"10","5","609-4616-1-ND","10118193-0001LF","CONN RCPT USB2.0 MICRO B SMD R/A","","5","0","0,38000","1,90"
"11","2","SC1537-ND","PJRAS4X2U01X","CONN RCA JACK MONO 3.2MM R/A","","2","0","3,79000","7,58"
"12","5","102-5864-ND","RCJ-2233","CONN RCA JACK DUAL R/A WHT/WHT","","5","0","1,23000","6,15"
"13","4","CP1-3523N-ND","SJ1-3523N","CONN JACK STEREO 3.5MM R/A","","4","0","0,66000","2,64"
"14","24","PCE4301CT-ND","EEE-1HA010NR","CAP ALUM 1UF 20% 50V SMD","","24","0","0,22900","5,50"
"15","100","1276-1156-1-ND","CL21C470JBANNNC","CAP CER 47PF 50V C0G/NP0 0805","","100","0","0,02140","2,14"
